,title,subtitle,link
0,BILL OF HEALTH,Billi Mucklow & Andy Carroll put on united front on return from honeymoon,https://www.thesun.co.uk/sport/18971916/billi-mucklow-andy-carroll-essex-mexico-honeymoon/
1,RON'S CRASH SUM,Ronaldo offers to pay for damage after bodyguard crashed £1.7m Bugatti,https://www.thesun.co.uk/sport/18972990/cristiano-ronaldo-pay-damage-car-crash/
2,TRAGIC END,8 people to stand trial over death of Maradona - and could face 25 years in jail,https://www.thesun.co.uk/sport/football/18973946/eight-people-stand-trial-over-diego-maradona-death/
3,GREENWOOD PROBE,Mason Greenwood to find out TOMORROW about bail after rape and GBH arrest,https://www.thesun.co.uk/sport/18971878/mason-greenwood-bail-arrest-rape/
4,BET BOOST,Get Liverpool and Man City to win their opening three games at 11/1 with Sky Bet,https://www.thesun.co.uk/sport/betting-tips/18947689/liverpool-man-city-win-sky-bet-price-boost/
5,SAD TO SEE YOU GO,Mo Salah posts emotional tribute to Mane as pal completes Bayern transfer,https://www.thesun.co.uk/sport/18972077/liverpool-mo-salah-sadio-mane-bayern-munich-transfer/
6,OFF BRAND,Man Utd willing to sell Williams for £10m with defender surplus to requirements,https://www.thesun.co.uk/sport/football/18970694/man-utd-transfer-brandon-williams-exit/
7,ROAD TO QATAR,Nick Pope set for Newcastle medical in bid to secure England World Cup spot,https://www.thesun.co.uk/sport/football/18973646/nick-pope-newcastle-medical-england-world-cup/
8,CAR RIDE,Bale meets Cardiff boss Morison as rumours mount he could join hometown club,https://www.thesun.co.uk/sport/football/18969438/gareth-bale-cardiff-transfer-morison/
9,CASH PRIZE,"Win £50,000 in cash from just 79p with exclusive Sun discount",https://www.thesun.co.uk/sport/betting-tips/18922011/win-cash-prize-exclusive-discount/
10,MARCED MAN,Man Utd star Rashford is swarmed by fans as he visits book shop in the Bronx,https://www.thesun.co.uk/sport/18971728/man-utd-marcus-rashford-bronx-books-shop-visit/
